set_id,series_name,db_code,db_name,scrydex_id,scrydex_url,candidate_ids,status
312d4099-d563-4221-b523-a8ab2cf9c24e,SMシリーズ,SM8b,GXウルトラシャイニー,sm8b_ja,https://scrydex.com/pokemon/expansions/gx-ultra-shiny/sm8b_ja,sm8b_ja,MAPPED
8c3e90a2-295a-49ec-a166-fec75fe3fd8e,SMシリーズ,SM9,タッグボルト,sm9_ja,https://scrydex.com/pokemon/expansions/tag-bolt/sm9_ja,sm9_ja,MAPPED
0bf8b1be-1ffe-4105-957e-f4d47b905e05,SMシリーズ,SM9a,ナイトユニゾン,sm9a_ja,https://scrydex.com/pokemon/expansions/night-unison/sm9a_ja,sm9a_ja,MAPPED
a7880f19-342f-4727-8b28-2ad012936a2f,SMシリーズ,SM9b,フルメタルウォール,sm9b_ja,https://scrydex.com/pokemon/expansions/full-metal-wall/sm9b_ja,sm9b_ja,MAPPED
0e5e9c85-befb-4767-b2e3-748891d46454,SVシリーズ,SV1S,スカーレットex,sv1s_ja,https://scrydex.com/pokemon/expansions/scarlet-ex/sv1s_ja,sv1s_ja,MAPPED
15f71d52-9415-472d-a5cb-2397e385979c,SVシリーズ,SV1V,バイオレットex,sv1v_ja,https://scrydex.com/pokemon/expansions/violet-ex/sv1v_ja,sv1v_ja,MAPPED
bb411b0c-7378-4681-8d40-30958187c747,SVシリーズ,SV2a,ポケモンカード151,sv2a_ja,https://scrydex.com/pokemon/expansions/pokmon-card-151/sv2a_ja,sv2a_ja,MAPPED
34dac2ab-c4e1-429a-a8f7-a057ae021a67,SVシリーズ,SV2D,クレイバースト,sv2d_ja,https://scrydex.com/pokemon/expansions/clay-burst/sv2d_ja,sv2d_ja,MAPPED
e86bad58-b459-4ac3-a82c-a122cf1755d6,SVシリーズ,SV2P,スノーハザード,sv2p_ja,https://scrydex.com/pokemon/expansions/snow-hazard/sv2p_ja,sv2p_ja,MAPPED
eb9a2ae1-f752-48e2-bd6e-4a3103023949,SVシリーズ,SV3,黒炎の支配者,sv3_ja,https://scrydex.com/pokemon/expansions/ruler-of-the-black-flame/sv3_ja,sv3_ja,MAPPED
c5804d11-9c59-4cad-9061-0801b0ba0d9b,SVシリーズ,SV3a,レイジングサーフ,sv3a_ja,https://scrydex.com/pokemon/expansions/raging-surf/sv3a_ja,sv3a_ja,MAPPED
2e3e2cf1-be86-4808-87f7-fe01973f0325,SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,sv4a_ja,MAPPED
41226239-da09-4293-b6a3-d53c92094bf5,SVシリーズ,SV4K,古代の咆哮,sv4k_ja,https://scrydex.com/pokemon/expansions/ancient-roar/sv4k_ja,sv4k_ja,MAPPED
1d6a22e1-15be-46ec-bfa4-71adffe1213e,SVシリーズ,SV4M,未来の一閃,sv4m_ja,https://scrydex.com/pokemon/expansions/future-flash/sv4m_ja,sv4m_ja,MAPPED
97d0e77f-4340-44e3-9fb3-6e227b079a7d,SVシリーズ,SV5a,クリムゾンヘイズ,sv5a_ja,https://scrydex.com/pokemon/expansions/crimson-haze/sv5a_ja,sv5a_ja,MAPPED
1fea9ad9-1344-4423-b075-978401221f70,SVシリーズ,SV5M,サイバージャッジ,sv5m_ja,https://scrydex.com/pokemon/expansions/cyber-judge/sv5m_ja,sv5m_ja,MAPPED
aaae146c-17af-45fb-b9fb-165ca527fc03,SVシリーズ,SV6,変幻の仮面,sv6_ja,https://scrydex.com/pokemon/expansions/mask-of-change/sv6_ja,sv6_ja,MAPPED
