set_code,set_name,number,db_card_number,db_name,db_rarity,db_image_url,found_in_scrydex
SV4a,シャイニートレジャーex,98,098,ハカドッグ,,https://images.scrydex.com/pokemon/sv4a_ja-98/medium,YES
SV4a,シャイニートレジャーex,99,099,コレクレー,,https://images.scrydex.com/pokemon/sv4a_ja-99/medium,YES
SV4a,シャイニートレジャーex,100,100,マンキー,,https://images.scrydex.com/pokemon/sv4a_ja-100/medium,YES
SV4a,シャイニートレジャーex,101,101,オコリザル,,https://images.scrydex.com/pokemon/sv4a_ja-101/medium,YES
SV4a,シャイニートレジャーex,102,102,コノヨザル,,https://images.scrydex.com/pokemon/sv4a_ja-102/medium,YES
SV4a,シャイニートレジャーex,103,103,パルデア ケンタロス,,https://images.scrydex.com/pokemon/sv4a_ja-103/medium,YES
SV4a,シャイニートレジャーex,104,104,リオル,,https://images.scrydex.com/pokemon/sv4a_ja-104/medium,YES
SV4a,シャイニートレジャーex,105,105,ルカリオ,,https://images.scrydex.com/pokemon/sv4a_ja-105/medium,YES
SV4a,シャイニートレジャーex,106,106,ルチャブル,,https://images.scrydex.com/pokemon/sv4a_ja-106/medium,YES
SV4a,シャイニートレジャーex,107,107,コジオ,,https://images.scrydex.com/pokemon/sv4a_ja-107/medium,YES
SV4a,シャイニートレジャーex,108,108,ジオヅム,,https://images.scrydex.com/pokemon/sv4a_ja-108/medium,YES
SV4a,シャイニートレジャーex,109,109,キョジオーン,,https://images.scrydex.com/pokemon/sv4a_ja-109/medium,YES
SV4a,シャイニートレジャーex,110,110,キラーメ,,https://images.scrydex.com/pokemon/sv4a_ja-110/medium,YES
SV4a,シャイニートレジャーex,111,111,キラフロルex,RR,https://images.scrydex.com/pokemon/sv4a_ja-111/medium,YES
SV4a,シャイニートレジャーex,112,112,イダイナキバex,RR,https://images.scrydex.com/pokemon/sv4a_ja-112/medium,YES
SV4a,シャイニートレジャーex,113,113,ディンルーex,RR,https://images.scrydex.com/pokemon/sv4a_ja-113/medium,YES
SV4a,シャイニートレジャーex,114,114,コライドンex,RR,https://images.scrydex.com/pokemon/sv4a_ja-114/medium,YES
SV4a,シャイニートレジャーex,115,115,リザードンex,RR,https://images.scrydex.com/pokemon/sv4a_ja-115/medium,YES
SV4a,シャイニートレジャーex,116,116,パルデア ウパー,,https://images.scrydex.com/pokemon/sv4a_ja-116/medium,YES
SV4a,シャイニートレジャーex,117,117,パルデア ドオーex,RR,https://images.scrydex.com/pokemon/sv4a_ja-117/medium,YES
SV4a,シャイニートレジャーex,118,118,ヤミカラス,,https://images.scrydex.com/pokemon/sv4a_ja-118/medium,YES
SV4a,シャイニートレジャーex,119,119,ニューラ,,https://images.scrydex.com/pokemon/sv4a_ja-119/medium,YES
SV4a,シャイニートレジャーex,120,120,マニューラ,,https://images.scrydex.com/pokemon/sv4a_ja-120/medium,YES
SV4a,シャイニートレジャーex,121,121,ヤミラミ,,https://images.scrydex.com/pokemon/sv4a_ja-121/medium,YES
SV4a,シャイニートレジャーex,122,122,コマタナ,,https://images.scrydex.com/pokemon/sv4a_ja-122/medium,YES
SV4a,シャイニートレジャーex,123,123,キリキザン,,https://images.scrydex.com/pokemon/sv4a_ja-123/medium,YES
SV4a,シャイニートレジャーex,124,124,ドドゲザン,,https://images.scrydex.com/pokemon/sv4a_ja-124/medium,YES
SV4a,シャイニートレジャーex,125,125,オラチフ,,https://images.scrydex.com/pokemon/sv4a_ja-125/medium,YES
SV4a,シャイニートレジャーex,126,126,マフィティフ,,https://images.scrydex.com/pokemon/sv4a_ja-126/medium,YES
SV4a,シャイニートレジャーex,147,147,ペリッパー,,https://images.scrydex.com/pokemon/sv4a_ja-147/medium,YES
SV4a,シャイニートレジャーex,168,168,まけんきハチマキ,,https://images.scrydex.com/pokemon/sv4a_ja-168/medium,YES
SV4a,シャイニートレジャーex,169,169,勇気のおまもり,,https://images.scrydex.com/pokemon/sv4a_ja-169/medium,YES
SV4a,シャイニートレジャーex,170,170,ワザマシン かじばのいっぱつ,,https://images.scrydex.com/pokemon/sv4a_ja-170/medium,YES
SV4a,シャイニートレジャーex,171,171,オモダカ,,https://images.scrydex.com/pokemon/sv4a_ja-171/medium,YES
SV4a,シャイニートレジャーex,172,172,クラベル,,https://images.scrydex.com/pokemon/sv4a_ja-172/medium,YES
SV4a,シャイニートレジャーex,173,173,サカキのカリスマ,,https://images.scrydex.com/pokemon/sv4a_ja-173/medium,YES
SV4a,シャイニートレジャーex,174,174,ナンジャモ,,https://images.scrydex.com/pokemon/sv4a_ja-174/medium,YES
SV4a,シャイニートレジャーex,175,175,ネルケ,,https://images.scrydex.com/pokemon/sv4a_ja-175/medium,YES
SV4a,シャイニートレジャーex,176,176,博士の研究,,https://images.scrydex.com/pokemon/sv4a_ja-176/medium,YES
SV4a,シャイニートレジャーex,177,177,博士の研究,,https://images.scrydex.com/pokemon/sv4a_ja-177/medium,YES
SV4a,シャイニートレジャーex,178,178,パルデアの学生,,https://images.scrydex.com/pokemon/sv4a_ja-178/medium,YES
SV4a,シャイニートレジャーex,179,179,パルデアの学生,,https://images.scrydex.com/pokemon/sv4a_ja-179/medium,YES
SV4a,シャイニートレジャーex,180,180,ペパー,,https://images.scrydex.com/pokemon/sv4a_ja-180/medium,YES
SV4a,シャイニートレジャーex,181,181,ボスの指令,,https://images.scrydex.com/pokemon/sv4a_ja-181/medium,YES
SV4a,シャイニートレジャーex,182,182,ボタン,,https://images.scrydex.com/pokemon/sv4a_ja-182/medium,YES
